keys,en,es
tile.grass.name,Grass,Hierba
tile.bare_dirt.name,Bare Dirt,Tierra seca
tile.dirt_path.name,Dirt Path,Camino de tierra
tile.pond_water.name,Pond Water,Agua de estanque
tile.rock_wall.name,Rock Wall,Muro de roca
tile.bush.name,Bush,Arbusto
tile.open_door.name,Open Door,Puerta abierta
modifier.wet.name,Wet,Mojado
modifier.snowy.name,Snowy,Nevado
modifier.burning.name,Burning,Ardiendo
modifier.scatter_pebble.name,Pebble,Piedra
prop.oak_tree.name,Oak tree,Roble
prop.large_rock.name,Large rock,Roca grande
prop.field_bush.name,Bush,Arbusto
decor.scatter_pebble.name,Pebble,Piedra
decor.wildflower.name,Wildflower,Flor silvestre
decor.grass_tuft.name,Grass tuft,Hierba
terrain_set.field.name,Field terrain,Terreno del campo
biome.field.name,Field,Campo
structure.kit.dark_medieval_wood.name,Dark medieval wood kit,Kit madera medieval oscura
structure.dark_medieval_wood.wall_straight.name,Wood wall straight,Pared madera recta
structure.dark_medieval_wood.wall_corner.name,Wood wall corner,Esquina madera
structure.dark_medieval_wood.door_closed.name,Wood door closed,Puerta madera cerrada
structure.dark_medieval_wood.window_shuttered.name,Shuttered window,Ventana con postigos
structure.dark_medieval_wood.roof_slope.name,Roof slope section,Tramo tejado inclinado
tile.dmw_floor_interior.name,Wood floor interior,Suelo madera interior
tile.dmw_floor_porch.name,Wood porch floor,Suelo porche madera
tile.dmw_floor_rotten.name,Rotten wood floor,Suelo madera podrida
archetype.npc.name,Creature,Criatura
archetype.humanoid.name,Humanoid,Humanoide
archetype.human.name,Human,Humano
archetype.dummy.name,Dummy archetype,Arquetipo dummy
npc.main_character.name,Wanderer,Errante
gui.action.accept,Accept,Aceptar
gui.action.cancel,Cancel,Cancelar
gui.inventory.title,Inventory,Inventario
gui.inspection.title,Inspection,InspecciÃ³n
gui.loot.title,Loot,BotÃ­n
gui.sample.label,Sample Label,Etiqueta de ejemplo
gui.sample.button,Sample Button,BotÃ³n de ejemplo
gui.header.close,Close,Cerrar
gui.header.minimize,Minimize,Minimizar
gui.header.drag,Drag,Mover
gui.sample.toggle,Sample Toggle,Interruptor de ejemplo
gui.tab.placeholder.one,Tab One,PestaÃ±a 1
gui.tab.placeholder.two,Tab Two,PestaÃ±a 2
gui.placeholder.list_item,List item,Elemento de lista
faction.dummy.name,Dummy faction,FacciÃ³n dummy
modifier.dummy.name,Dummy trait,Rasgo dummy
item.equipo_humano_cabeza_dummy.name,Dummy head (human),Cabeza dummy (humano)
item.equipo_humano_cuerpo_dummy.name,Dummy body (human),Cuerpo dummy (humano)
item.equipo_humano_brazo_izq_dummy.name,Dummy left arm (human),Brazo izq. dummy (humano)
item.equipo_humano_brazo_der_dummy.name,Dummy right arm (human),Brazo der. dummy (humano)
item.equipo_humano_cinturon_dummy.name,Dummy belt (human),CinturÃ³n dummy (humano)
item.equipo_humano_cuello_dummy.name,Dummy neck (human),Cuello dummy (humano)
item.equipo_humano_anillo_1_dummy.name,Dummy ring 1 (human),Anillo 1 dummy (humano)
item.equipo_humano_anillo_2_dummy.name,Dummy ring 2 (human),Anillo 2 dummy (humano)
item.equipo_humano_pies_dummy.name,Dummy feet (human),Pies dummy (humano)
item.equipo_humano_espalda_dummy.name,Dummy back (human),Espalda dummy (humano)
npc_editor.title,NPC Editor,Editor de PNJ
npc_editor.details,Details,Detalles
npc_editor.preview,Preview,Vista previa
npc_editor.compatible_items,Compatible items,Objetos compatibles
item.category.weapon,Weapon,Arma
item.category.armor,Armor,Armadura
item.category.food,Food,Comida
item.category.valuable,Valuable,Valioso
item.state.pristine,Pristine,Impecable
item.state.good,Good,Bueno
item.state.worn,Worn,Usado
item.state.rusty,Rusty,Oxidado
item.state.battered,Battered,Maltratado
item.quality.common,Common,Común
item.quality.uncommon,Uncommon,Poco común
item.quality.rare,Rare,Raro
item.quality.epic,Epic,Épico
item.long_sword_type01.name,Long sword (type 01),Espada larga (tipo 01)
item.long_sword_type01.desc,A balanced long sword.,Una espada larga equilibrada.
item.bread_loaf.name,Bread loaf,Pan
item.bread_loaf.desc,A simple loaf of bread.,Un pan sencillo.
item.gold_coin.name,Gold coin,Moneda de oro
item.gold_coin.desc,Standard currency.,Moneda corriente.
modifier.blade_basic.name,Basic blade,Hoja básica
modifier.enchanted.name,Enchanted,Encantado
modifier.oiled.name,Oiled,Aceitado
